Timestamp start: 1715974908540
Timestamp end: 1715975689136

#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999      QPS   target
read      365.7   386.0   101.3   160.4   177.4   321.1   402.6   451.7   489.1   534.0   588.2   664.8   831.8  3093.4 13679.3  64358.0    64364
read      454.2  1506.9   127.6   200.6   224.3   325.7   361.9   381.2   395.7   414.2   440.4   505.3  2826.9 30641.4 41837.9   5516.8     5481
read      463.5   684.8   101.3   167.6   187.5   359.7   485.4   561.8   626.8   702.0   787.2   908.8  1313.7 10128.4 31179.3  26226.2    26227
read      460.6   767.3   101.3   162.5   181.8   353.5   478.6   548.8   606.0   682.2   778.4   914.9  1392.8 10802.1 30956.8  26385.8    26586
read      426.2   413.2   101.3   165.9   186.2   339.9   426.6   482.6   528.1   584.0   663.1   873.5  1842.2  3584.4 10184.8  86316.2    86286
read      449.4   794.1   101.3   164.8   183.9   349.9   463.9   525.8   570.7   629.7   722.2   851.7  1246.9 10983.3 31339.2  24592.8    24452
read      447.2   548.5    93.8   165.2   184.6   354.2   487.8   568.4   634.2   715.4   800.7   913.9  1174.2  7581.1 26447.1  26739.5    26832
read      469.7   900.5   101.3   159.9   178.8   333.0   451.6   534.1   610.1   719.7   841.6   987.1  1369.1 14122.2 36647.9  29901.0    29795
read      374.0   347.8   101.3   154.9   171.9   313.5   391.7   444.2   487.0   538.4   602.9   716.2  1390.5  2982.4 10098.7  46136.2    46224
read      356.3   261.1   101.3   158.0   175.8   312.1   389.3   437.0   474.3   519.4   576.7   663.7   934.8  2850.9  7677.0  84498.2    84587
read      376.9   335.6   101.3   162.2   180.1   332.1   415.1   463.3   500.2   544.8   603.9   689.8  1010.6  3679.2  9449.2  63445.8    63389
read      358.9   214.4   101.3   157.7   175.3   322.0   399.8   447.6   484.9   530.4   586.0   662.7   899.2  1843.3  5501.3  46854.0    46953
read      370.5   330.6    93.8   161.8   180.2   321.8   400.6   449.8   487.5   532.8   591.2   684.6  1039.3  2963.6 12014.1  90632.8    90536
read      435.7   983.5   101.3   167.6   188.4   351.2   417.4   458.8   490.4   527.8   574.8   643.1  1774.9 12921.8 35598.8  12477.0    12508
read      411.1   556.1   101.3   156.9   174.9   325.4   419.5   484.0   531.9   588.9   676.0   929.7  1390.6  7966.6 27161.2  38500.8    38491
read      372.8   384.1    93.8   163.7   183.3   324.8   400.9   447.4   482.7   527.1   586.3   679.9   957.5  3802.6 13500.0  98032.8    97806
read      352.3   363.1   101.3   174.1   193.3   335.1   381.2   404.5   422.7   442.6   468.4   512.6   684.3  5085.9 12362.8  11835.2    11813
read      350.1   292.2    93.8   154.0   170.6   311.7   394.0   447.1   486.2   528.9   576.4   634.7   742.5  2250.7 11112.3  39558.5    39665
read      349.0   237.9   101.3   156.5   174.1   317.8   392.7   439.7   476.7   520.3   572.1   636.6   746.6  1196.8  9769.1  53650.8    53571
read      345.7   201.9    93.8   158.1   175.3   315.0   391.5   436.1   471.3   514.2   565.4   632.4   742.0   945.7  7870.2  63076.8    63215
read      347.7   216.5    93.8   158.8   176.0   312.9   392.4   439.4   473.8   514.9   565.6   638.3   778.8  1082.9  8010.1  78383.5    78767
read      352.9   432.3   118.1   188.9   211.2   332.8   368.6   387.8   400.6   418.0   438.2   473.4   655.8  6818.8 15272.0   8712.0     8615
read      345.5   193.8    93.8   158.9   175.9   313.1   391.9   438.2   472.3   512.6   563.9   631.6   745.4  1014.4  7732.5  67856.0    67903
read      358.0   317.8   109.4   168.8   188.8   343.0   410.1   441.4   462.0   485.1   511.2   551.0   642.3  3623.3 14853.8  16419.2    16398
read      350.6   245.0    93.8   157.9   175.4   316.8   392.2   440.9   479.8   526.7   579.3   641.6   743.3  1004.0  9216.2  53416.0    53434
read      353.9   257.9    93.8   157.1   174.7   316.1   398.0   453.4   492.7   535.3   581.8   638.4   740.3  2165.1 12048.9  38122.0    38068
read      355.1   432.5   109.4   190.2   212.1   336.7   374.6   394.3   407.2   423.8   443.2   475.0   615.3  6332.0 19148.7   9154.8     9130
read      346.5   207.9    93.8   158.7   175.5   313.8   392.8   438.4   473.1   515.3   566.9   635.1   753.1  1008.0  8042.5  69104.0    69227
read      347.1   249.9    93.8   152.9   169.4   306.9   393.1   450.2   490.5   532.3   577.7   633.6   729.9  1413.0 10261.4  37397.2    37496
read      343.8   225.8   101.3   158.1   175.6   307.4   384.9   431.2   466.0   507.9   561.3   635.1   773.1  1045.8  9148.9  83624.8    83925
read      344.4   235.0    93.8   154.6   171.3   311.5   385.9   432.2   468.1   513.3   566.6   632.4   739.7  1082.8 10470.6  50867.5    51037
read      343.3   248.6   101.3   153.6   170.1   305.3   390.8   444.3   481.4   520.3   561.3   615.9   709.9  1938.8 12199.9  33724.0    33690
read      345.6   201.6    93.8   156.5   173.7   312.5   386.5   434.2   472.5   519.3   573.1   637.2   739.7  1110.9  8061.3  51291.5    51474
read      346.5   202.5    93.8   159.0   176.4   313.9   392.5   438.1   471.8   512.9   565.5   637.4   761.9   996.2  7928.4  73496.5    73708
read      335.9   190.4   101.3   160.7   178.1   303.7   373.7   417.1   450.1   489.9   539.6   610.9   743.5   969.1  7650.3  98649.2    98618
